name	Alpha Acid %	Possible Substitutions	description
Admiral (U.K.)	13.5-16%	U.K. Challenger, U.K. Northdown, U.K. Target	Known for its bittering potential.
Ahtanum	4-6.3%	Amarillo, Cascade	Floral, citrus, sharp, and piney.
Amarillo	8-9%	Cascade, Centennial	Citrusy, flowery.
Apollo	15-19%	Zeus	A high alpha acid varietal known for its disease resistance.
Boadicea (U.K.)	8-9%		spicy
Bobeck (Slovenia)	3.5-7%	U.K. Fuggle	
Bramling Cross (U.K.)	5-7%	U.K. Kent Golding, U.K. Progress, Whitbread Golding Variety	Quite mild, fruity currant aroma.
Bravo	14-17%	Apollo, Zeus	
Brewer's Gold (German)	6-7%	Bullion, Galena, Northdown, Northern Brewer	Black currant, fruity, spicy.
Brewer's Gold (U.S.)	7-10%	Bullion	Bittering hop with neutral aroma character.
Bullion (U.K.)	6.5-9%	Columbus, Northern Brewer	A rich hop primarily used for bittering. Intense blackcurrant aroma.
Cascade (New Zealand)	6-8%	Ahtanum, Cascade, Centennial	Similar to US Cascade, has floral, citrus grapefruit character.
Cascade (U.S.)	4.5-7%	Amarillo, Centennial, possibly Columbus	Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor.
Celeia (Slovenia)	3-6%	Styrian Golding	Moderate and pleasant zesty bitterness with matching floral aroma, making its use widespread in both ale and lager brewing. Stores very well.
Centennial	8-11.5%	Cascade, possibly Columbus	Medium with floral and citrus tones.
Challenger (U.K.)	6.5-8.5%	Northern Brewer, U.S. or German Perle	Mild to moderate, quite spicy.
Chinook	10-14%	Columbus, Northern Brewer, Nugget, U.K. Target	Mild to medium-heavy, spicy, piney, and grapefruity.
Citra (U.S.)	11-13%		intense flavor
Cluster	5.5-8.5%	Galena	Medium and quite spicy.
Columbus	11-16%	Chinook, Northern Brewer, Nugget, U.K. Target	Pleasant, with pungent aroma.
Crystal	2-4.5%	French Strisslespalt, Hallertauer, Hersbrucker, Liberty, Mt. Hood	Mild and pleasant, spicy and flowery.
El Dorado (U.S.)	14-16%		candy-like
First Gold (U.K.)	6.5-8.5%	maybe Crystal, U.K. Kent Golding	A little like Golding family; spicy.
Fuggle (U.K.)	4-5.5%	Styrian Golding, U.S. Fuggle, Willamette	Mild, pleasant, hoppy, and robust.
Fuggle (U.S.)	4-5.5%	Styrian Golding, U.K. Fuggle, U.S. Tettnanger, Willamette	Mild and pleasant, earthy and fruity.
Galaxy (Australia)	13.5-14.8%		
